ref	head	reachable_from_origin_main	subject
refs/heads/codex/land06-env06_6-final	b7da64ae802ac0d35af95ad85d8d7f08788b59ab	false	test command receipts with nontransitioning fixture
refs/heads/codex/land06-env06_6-orderprobe	cc0bd64e422e2632ea0b93bd3613e0816242bee6	false	env06_6: add exact inventory and hostile lifecycle gates
refs/heads/codex/land06-env06_6-reconcile	53d40389d99a65288f41cddee62e466334830af0	false	env06_6: seal passive scenario candidates
refs/heads/codex/land06-fix06_10	8f888e2660370a5082b6167b117ece2fd79d4141	false	docs: claim fix06_10 EV runner remediation
refs/heads/codex/land06-fix06_10-final-integration	ba4e5fde9f00f6ff8c000d23f8f552de9b3cb792	false	docs: constrain pusher liveness evidence wording
refs/heads/codex/land06-fix06_10-integration	74a1b5320861cb8e18b9512f41119c52f45d4c34	false	docs: claim fix06_10 EV runner remediation
refs/heads/codex/land06-fix06_11	745051323f90ffcd7839b5dbfab0074f5553b290	false	fix: bind pusher EV runner provenance
refs/heads/codex/land06-fix06_13	718af3da7176abfaec9f9dbc10884454298a9872	false	docs(landing): record fix06_13 iteration 8 evidence
refs/heads/codex/land06-fix06_13-current-main	fadf8a44bcf943edd1b1c2ecbaafa6ac87be025b	false	docs(fix06_13): hand off current-main integration
refs/heads/codex/land06-fix06_14	d0306126bbe8110bb6d4ef79b335c6dcdd3dcc31	false	docs(fix06_14): record reduced schema remediation
refs/heads/codex/land06-fix06_14-integration	4cf7a43850567f00e017416dbf29b09dd67fe198	true	docs: complete fix06_14 canonical landing row
refs/heads/codex/land06-fix06_16	7fe696f266bd8d3c0b0920b8de3faa2f45c04ace	true	docs: close fix06_16 post-land verification
refs/heads/codex/land06-fix06_17-scratch-timing-route	2b07f701124efaf7559d6100f95047af2224e0df	false	fix06_17: correct timing route record
refs/heads/codex/land06-fix06_4	91e050bf14c2c87ef995300143fe16431d0bc497	true	docs(land06): correct capture evidence paths
refs/heads/codex/land06-fix06_4-closeout	b763b85b93fdaada815ae3db9e278b5bbad00f79	true	docs(land06): correct fix06_4 smoke metrics
refs/heads/codex/land06-fix06_5-integration	87fa674e0e2f1f12532b1784296796402c13994b	true	docs(fix06_5): correct companion log counts
refs/heads/codex/land06-fix06_6	b323f841ca0023493a54e1118abc32fe51208c63	true	docs(fix06_6): keep closeout in progress
refs/heads/codex/land06-fix06_7-integration	bb3be7fdc329fbcd0e81696656f47a908d31ff74	true	test(crew): bind refreshed golden provenance
refs/heads/codex/land06-fix06_8	1f0595af567494f1c7d69f319a1ee8e4bead26dc	false	WIP UNREVIEWED fix06_8: preserve Option A one-shot red
refs/heads/codex/land06-fix06_9	e3e523bef613cb1d196dde22d06d143b196c4ff5	false	fix(perf): seed authoritative pusher session
refs/heads/codex/land06-fix06_9-integration	f6a06d5feeb8c132fa69cc7e19a3732b7c85be3c	true	docs(fix06_9): route shipped Web performance red
refs/heads/codex/land06-integration	7e2c19ebe65cf3dd0af6282bc9f5253f45a45eab	false	merge: stage meta06_1 reporting surfaces
refs/heads/codex/land06-meta06_1	27dc4be05b70e0ef213222aad9422de0f6cb2c5f	true	fix(career): keep ledger values legible
refs/heads/codex/land06-polish06_0	202b3f629cfce48d539e4e36c064508ca8bcd354	true	polish06_0: park release artifact templates
refs/heads/codex/land06-polish06_0-closeout	990bddf9271af6603993464fa2be7d7a29d804cb	true	polish06_0: record parked program closeout
refs/heads/codex/land06-pusherv3_11	9e1149e6997f1985b42008eafb8641e12f17dd60	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House-worktrees/land06-pusherv3_11
refs/heads/codex/land06-world-hostile-checklist	232ec7d6be3947ef3a5195f3c380ae0b624430e5	true	Merge accepted world hostile acceptance checklists
refs/heads/codex/main-health-first-bad-exact	737a8fe94bac9e193d5918fe7f6d722fa0a074a0	true	fix(coin-pusher): describe the V3 platform accurately
refs/heads/codex/main-health-first-bad-parent	9c31907dff15a7f03598e149bec9f9b8fa9b4110	true	docs(fix06_7): claim stale pusher copy repair
refs/heads/codex/main-health-fix06_7-hashes	e3f6e94ab0c43927b7cbe2e18bd5477bfe7baff3	true	test(main-health): refresh fix06_7 copy hashes
refs/heads/codex/main-health-inactive-delivery-triage	8feb8f17817423179408eff9b573574860bca75f	false	wip(consolidation): preserve unfinished local state from C:/bth-main-health-triage
refs/heads/codex/main-health-pre-meta-evidence	70eaaf80eff2f7a65cec7046b3900ee861cb2b4f	true	merge: land board06_1 hygiene split
refs/heads/codex/owner-decision-index	23add3811713980ca84aa1c451fcf20d6b16b04a	false	WIP UNREVIEWED program06: index fix06_13 owner decision
refs/heads/codex/parked-env06_6-ce496c1a	ce496c1a799e4cc6ecd4afa59da32fd7dbf50a4e	true	merge: land env06_6 accepted payload with alias remediation
refs/heads/codex/perf06_1-prestage	567222db63d021f15d30a1179c0c875406956b1a	true	WIP UNREVIEWED perf06_1: prestage measurement contract
refs/heads/codex/playtest06_2-prestage	bd79083079e1fcacf8ed7734dba1612dfc772d9d	true	WIP UNREVIEWED playtest06_2: prestage intake contract
refs/heads/codex/postland-main-qualification	9bcb641cf93128006a7b61dc93c7b92efd035ab4	true	Merge pull request #22 from erikjpet/codex/postland-main-qualification
refs/heads/codex/program06-board	e3258922621dee105cb43ae3b97540452e777602	false	program06_0: accept crew replay custody
refs/heads/codex/program06-meta06_1-integration	b680d28564ac05845e7ae45a02dbdb0d68f06138	true	docs(meta06_1): close accepted landing record
refs/heads/codex/pusher06_2	b9fe35d7eacd7ed45f10f9668522e31f47001afb	true	docs(board): complete coin pusher presentation
refs/heads/codex/pusher06_2-host-interrupt	ac601b1ec5f4bf4cf6b7c2fdb72ce03a2f6d9656	false	test(foundation): prove zero-work interrupt fast path
refs/heads/codex/pusher06_2-host-refresh	6535e0965aab8055ba7bbc820a569b82eed76152	false	test(coin-pusher): render host path on viewport frame
refs/heads/codex/pusher06_2-merge	09187572a45e4d7116178627fd66b95bd4b96579	true	merge: integrate coin pusher presentation
refs/heads/codex/pusher06_2-presentation-gaps	fa7c0f9b2dfec1017ef3644af6868dd24562a0a8	true	fix(pusher): sync reduced-motion terminal audio
refs/heads/codex/pusherv3_10-closure	30ee954dac4f345ddd2a1e77dc1d1409eb2c0812	false	perf(test): launch critical systems shards first
refs/heads/codex/pusherv3_11-replay-prestage	f05d14de4b93b3a4dccb4266224ee784897b616d	false	WIP UNREVIEWED pusherv3_11: prestage immutable replay manifest
refs/heads/codex/pusherv3_2	83bc917cafa1c3ecf6aca1f56ac3987ddbff0e1c	false	fix(pusher): release exit stop and add rail drag
refs/heads/codex/pusherv3_3	692c321edf5c9665961cf24ba438395b7e574ad4	false	fix(pusher): satisfy cabinet acceptance contracts
refs/heads/codex/review-craps06_3-checklist	24dcebabebb93b954f62219ed3bfa120aa7fc0da	false	docs(craps06_3): fix preimplementation acceptance checklist
refs/heads/codex/review-crew06_10-checklist	dc6894a100b188b17e6a1ed51321113463eaa40e	false	docs(crew06_10): fix preimplementation acceptance checklist
refs/heads/codex/review-cross-row-ownership-matrix	ffc6bbd1253f6565695636a9e1c2b448255c830d	false	docs(program06_0): bind depth-row ownership assignments
refs/heads/codex/review-env06_7-package-checklists	849aa8c2487398622dc5785dc43a6458bc02c438	false	docs(env06_7): fix package acceptance checklists
refs/heads/codex/rework06_2-integration	8c167bc129486d495381e96b6d4efc89313ecd1b	true	docs(board): claim pusher depth and crew recruitment
refs/heads/codex/rework06-1	2c653473c9ac7430fd9375d2dc3d215c3521e5c8	true	Prove delivery runs on the production map
refs/heads/codex/rework06-2	e516facb4dccd532ea2f214803e3a53dee573856	true	Remove Baccarat draw snapshot allocation churn
refs/heads/codex/rework-integration	352898952602f00ddf70a884766349b88737e13e	true	docs(board): close real-map delivery rework
refs/heads/codex/systems-budget	c376445c3c9e07d3699ee3db2282b65d6bfa4cee	true	test(systems): hydrate fixture before mutation sentinel
refs/heads/codex/teach06_1	b9ba2e95853e96dfb1e71a8b749469920c30ae35	true	docs(board): complete teach06_1
refs/heads/codex/teach06_2-prestage	19e249743660f5ed658480be8fe202a6e8c8905b	true	WIP UNREVIEWED teach06_2: audit current lesson catalog
refs/heads/codex/wave-a-coexistence-probe	8c73f211dad75123524065932508c81a948a3089	false	Add Wave A coexistence probe
refs/heads/codex/wave-a-crew06-1	d3d090cfbb0a7ea505e0b8d3182cc5aebfd105c0	false	Correct UI art contract classification
refs/heads/codex/wave-a-env06-1	b72a461505d1b49d0bd297c9f4cf4f152712f09d	false	Refresh visual QA menu controls
refs/heads/codex/wave-a-town06-1	83baf38cd2a2ecf0ba0cef65e824009dc744d75e	false	Preserve watched context for detector scans
refs/heads/codex/wave-b-env06-2	336222e2b3fa57ae5a6b46e835b3fa51472f9977	false	Make scenario screenshot overlap gate authoritative
refs/heads/codex/wave-b-env06-3	246fe09369d389455fe48c973c2cf666608288b6	true	fix: satisfy scenario runtime contracts
refs/heads/codex/wave-b-env06-4	16b322c1903b9a4b48748e3b4ae999c970006087	true	Merge main into codex/wave-b-env06-4
refs/heads/codex/wave-b-town06-2	d496b69b5d0d0aa8f599e92160842f69458e5e55	true	Merge branch 'main' into codex/wave-b-town06-2
refs/heads/codex/wave-b-town06-3	84f6b82fd1f188d8942533a1d4507330625bc4ef	true	test(town): add Wave B composition probe
refs/heads/codex/wave-c-acceptance-repair	3e1e699edcb8848ec6fedab3d151bd302a78cf29	false	Fix Punchline L3 Numbers visual contract
refs/heads/codex/wave-c-craps06-1	c3c728c52288124826e60c1d78a2876e64d1bfb3	true	fix(craps): preserve grand casino layout capacity
refs/heads/codex/wave-c-craps06-2	7ccb1a253355f8b2e934c409b3bd7ebf000b7536	false	test(ui): require travel in victory replay fixture
refs/heads/codex/wave-c-crew06-2	0b174013b575c6fdb1be6b4d73dc2c08999f8378	false	fix(crew): use immutable poker draw actions
refs/heads/codex/wave-c-crew06-3	b7d18f685e78723d8ef951e85019ad343088f3b5	false	Align zero-trust Numbers visual clock
refs/heads/codex/wave-c-integration	6ea9f4a984790ff901ca02af4c4cd6deefeb7154	true	Fix Punchline L3 Numbers visual contract
refs/heads/codex/wave-c-push06-1	362815d4240e9af93943c31e7d3a0ab142a8fdb9	false	Fix canonical Coin Pusher reduced-motion proof
refs/heads/codex/wave-c-push06-2	abad110a0b547160cfdc220ea47fa0789fc48e35	false	fix(pusher): require variation visual captures
refs/heads/codex/wave-c-streets06-1	b35e2783ab8abaf345701a81ac88ff8805a27111	false	Cover Streets modes in visual QA
refs/heads/codex/wip-0.6-consolidated	4e06f27f69aece21781fe4637b54b273bd37c064	false	wip(consolidation): establish sole unfinished-work branch
refs/heads/codex/world06_1	9d6ff952ab256bb74ec4d26e655cfb9cec3517e5	true	test(world06_1): stage sealed owner checkpoint negatives (UNREVIEWED-BLOCKED)
refs/heads/codex/world06_1-adapter-contract	ec699f728c91b452294e2b070867abdf97cb79df	true	docs: bind world adapter contract vocabulary
refs/heads/codex/world06_1-receipt-timing-owner-decision	d789a921a6cef5f17aeb035016f19433294c4beb	false	docs(world06_1): UNREVIEWED receipt timing owner decision
refs/heads/codex/world06_2	e4f4194f593bb401220eb56a1697b5fe58e60753	false	fix(world06_2): seal physical delivery authority (WIP UNREVIEWED)
refs/heads/codex/world06_2-second-rejection-decision	6ff384f41cb502667ba63c1e40dadc6d77f243c5	false	WIP UNREVIEWED world06_2: stage authority decision
refs/heads/codex/world06_3	8cde9f9be16d445ab85ed6f9cbab1548183f68ac	false	feat(world06_3): add Numbers depth model package (WIP UNREVIEWED)
refs/heads/codex/world06_3-remediation	e7aca3478bade4568c8c29ea109f799fd4f0a249	false	fix(world06_3): fail closed without host authority (WIP UNREVIEWED)
refs/heads/codex/world06_3-second-rejection-decision	94dc1731032ccfbb26d16ab6d980625731bdbf67	false	WIP UNREVIEWED world06_3: stage restore decision
refs/heads/codex/world06_4	4863b1cc8621ecbb2e5c22125fa5d208c7d67460	true	data(world06_4): author crew work semantics
refs/heads/codex/world06_4-remediation	4a5be2b154bf579257feb1475b910b79be01f9af	true	WIP UNREVIEWED: fail close world06_4 job authority
refs/heads/codex/world06_5	07e98f16a182f95e25aaa8ec34121b1c54c3554b	true	WIP UNREVIEWED: stage world06_5 sweep encounters
refs/heads/codex/world06_5-remediation	7f496a5ab47fb786cb8154a5abfd1664ddbd945b	true	WIP UNREVIEWED: fail close sweep intel authority
refs/heads/codex/world06_6	0814cec1bda9f1574357b77e5f14a1dab03f7994	false	QUIESCE-IDLE: world lane idle for perf measurement
refs/heads/codex/world06_7-intake-prestage	5f79be20b36e6d550d8c446a31eaf667c2ef7607	true	docs(world06_7): UNREVIEWED release gate intake
refs/heads/codex/world06-hostile-checklists	2c76a9ea504356420350ea649fd0846338d6cfe0	true	docs(world06): complete hostile acceptance checklists (UNREVIEWED)
refs/heads/main	38bbfc4546420644cd354265b9afc96a34e17017	true	docs(coin-pusher): record post-land broad gates
refs/heads/salvage/crew06_5_baseline_probe_unreviewed_wip	6f68ca207dbd06ea3aec25f8b80c4225cb92e843	false	salvage06_1: preserve crew06_5 baseline probe (UNREVIEWED WIP)
refs/heads/salvage/env06_6_atomic_consumer_handoff_stash	a1256241bf034123618fa78d73a03f115ff8f537	false	salvage06_1: preserve env06_6 atomic consumer handoff stash (UNREVIEWED WIP)
refs/heads/salvage/env06_6_lifecycle_unreviewed_wip	9fc5d07c08a727eff1f45b5f6208a07c931e5be6	false	salvage06_1: preserve env06_6 lifecycle work (UNREVIEWED WIP)
refs/heads/salvage/game_test_heat_cap_unreviewed_wip	53da5fb89d1e2df19c174e9a467aef67db8f9899	false	salvage06_1: preserve game-test heat cap changes (UNREVIEWED WIP)
refs/heads/salvage/golden_ref_low_confidence_unreviewed_wip	9525411565162e09a3733e72c0fae11cc0f5b1df	false	salvage06_1: preserve golden_ref edit (UNREVIEWED LOW-CONFIDENCE WIP)
refs/heads/salvage/pusherv3_4_agent_2b59309e	2b59309e7053af5941a0b8d8af833a152495508b	false	Capture Pusher v3 feel through production sessions
refs/heads/salvage/recovered_dangling_00038949	0003894907b3c7a48a3f62f533e4bd088cf67d00	false	R6 T7.2 T6.3: close foundation UI map QA
refs/heads/salvage/recovered_dangling_2c047332	2c0473323f950932511284a18cb74d346952fd9c	false	LC.1 remove ghost game scene art
refs/heads/salvage/recovered_dangling_3ce2de92	3ce2de92682c0a93c63a9eb35b96828094fb1058	false	Execute v05 dead code cleanup
refs/heads/salvage/recovered_dangling_416cfbad	416cfbad6d2a563431c0642e42bb154eca19805e	false	On main: migration:main-agents/art-improvements-bar-scene
refs/heads/salvage/recovered_dangling_525b23f6	525b23f63cda8ddb94aa05220c10d7cc2984726c	false	initial Ride the Bus file addition
refs/heads/salvage/recovered_dangling_5a1dc433	5a1dc433c22eef6b7aa71fe2f12051ed026eea15	false	Merge Dave bus encounter
refs/heads/salvage/recovered_dangling_6758695d	6758695d3aa184d1fce2529db08f4e44fc3696c6	false	Lock penalty shields to purchase outcomes
refs/heads/salvage/recovered_dangling_7c9e46ed	7c9e46edf02c984cde71575ffe729189f6eb8067	false	Archive profile persistence prompt
refs/heads/salvage/recovered_dangling_8069ed7e	8069ed7e93a4c3b981af482cbada86dc44086e8e	false	Track remaining v0.4 queue prompts
refs/heads/salvage/recovered_dangling_9ced103d	9ced103d7ca02c498237f3d290e6d327c9ef6a61	false	Add scratch ticket contracts and RTP audit
refs/heads/salvage/recovered_dangling_9f99bce3	9f99bce31bc3a70e664550e16d862f43c7737dae	false	Complete foundation main decomposition
refs/heads/salvage/recovered_dangling_acee8af5	acee8af5cdaed16d0fade1bfcaea6f9604fbf5d3	false	﻿v0.3.0
refs/heads/salvage/recovered_dangling_b0911fde	b0911fdee43b6dc5b4c2a1017a963ed47207c6a7	false	WIP on main: 4a4201b7 fix(craps): keep street preview observational
refs/heads/salvage/recovered_dangling_bbcd36db	bbcd36db385525b88c805237a0d610ef3fa70c09	false	Keep roulette idle on full wheel motion layer
refs/heads/salvage/recovered_dangling_bce2e0ea	bce2e0ea784d4fda5c8c58938723b0992a8aee30	false	On main: migration:main-agents/bar-environment-theme-rework
refs/heads/salvage/recovered_dangling_be445d2e	be445d2ed99bf9a51c3496ef8bca88c1175cffb9	false	Close Stage 2 audio and Dave prompts
refs/heads/salvage/recovered_dangling_c98180d6	c98180d6ccdf274d70f253f5a28dc9773e279727	false	initial Roulette implementation. Only number bets.
refs/heads/salvage/recovered_dangling_ca9e93e9	ca9e93e997c7ecc588a834f31f8ff6927b08baf0	false	On (no branch): pusherv3_4-pre-amendment-6.2-drafts
refs/heads/salvage/recovered_dangling_cd36e584	cd36e58417e240d43d187a789391173f8f815d77	false	WIP on main: 98fd5ec2 Record Crew recruitment scope correction
refs/heads/salvage/recovered_dangling_d89ce2b3	d89ce2b3f5c40d861115cab4094d16144fdb2905	false	Remove idle audio allocation hot paths
refs/heads/salvage/recovered_dangling_db0e52ab	db0e52ab62473363f797cc2a5ce5d468680d1ca1	false	Revert "scratch: inject SC.2 draw delay trip"
refs/heads/salvage/recovered_dangling_de26fca3	de26fca3b252d697e96643168a642a2a9c7ef2fc	false	Execute v05 dead code cleanup
refs/heads/salvage/recovered_dangling_e9793609	e979360905ec6c0a6372fb18c728d2406162e583	false	Archive Act 2 seam task
refs/heads/salvage/recovered_dangling_f1b74846	f1b74846005cb5821cb97e25f52a2f81c1ee7184	false	Execute v05 dead code cleanup
refs/heads/salvage/recovered_dangling_f6bfc2df	f6bfc2df64758472c0c69a67aeb21c120f0936a7	false	On main: pm-preserve-check-core-content-eol-20260818
refs/heads/salvage/recovered_finalmerge_3407f9ca	3407f9ca5969e83614a8a5f78270052e794d7fd9	false	WIP on main: cabf2fea merge: land polish06_0 planning program
refs/heads/salvage/recovered_finalmerge_7d82c203	7d82c2036ad677472bf52915ae885950b6e81f90	false	WIP on main: e1a1b128 merge: land salvage06_1 branch and work inventory
refs/heads/salvage/recovered_postmerge_1189769b	1189769b364ee56bb354e12f8069d3a31acf6d62	false	WIP on main: 70eaaf80 merge: land board06_1 hygiene split
refs/heads/salvage/recovered_postmerge_304824a6	304824a6905bc88e542f1a4a01b1301d58c871cd	false	WIP on main: d7724bb7 merge: close board06_1 landing record
refs/heads/salvage/recovered_postmerge_31a6bbbc	31a6bbbcb75176c1c561bbb8dc94e054656b42ad	false	salvage06_1: inventory all branches and preserve at-risk work
refs/heads/salvage/recovered_reflog_0d43c335	0d43c335a254bfab58f31e23ca3eaa231040d37f	false	verify guided tutorial end to end
refs/heads/salvage/recovered_reflog_12911adf	12911adf849e44febcceacd0ff81c6f0bc43be82	false	fix(scenarios): preserve full catalog reach
refs/heads/salvage/recovered_reflog_27500cc4	27500cc466d464c8aed6918ecb84a9bfe61e841e	false	Record pusherv3_4 completion evidence
refs/heads/salvage/recovered_reflog_462b3a99	462b3a99bcff333571dc03ce9dab86e4c8ba850a	false	test(systems): run stable shards in parallel
refs/heads/salvage/recovered_reflog_4c5d5813	4c5d5813f10f842666a517b7bc3b90cb9ba2cfb1	false	docs(todo): plan next coin pusher physics pass
refs/heads/salvage/recovered_reflog_5446ed95	5446ed95436cbb8b2882d2952812e2220f1ddc5e	false	docs(todo): claim pusherv3_10 implementation
refs/heads/salvage/recovered_reflog_56ee9443	56ee9443e30225ab1e4fe1c2be2ad65f4ef8a0ae	false	board06_1: split and archive the active board
refs/heads/salvage/recovered_reflog_5a8f2728	5a8f272847c53f82a7a111ceb037ad4b681a05fb	false	Complete content depth presentation contracts
refs/heads/salvage/recovered_reflog_61a76afe	61a76afe60a0ea23ff856eabec07851895df2c33	false	Rework first run as guided dialogue
refs/heads/salvage/recovered_reflog_73d67c7b	73d67c7b234029ed64665acb7493ef3e72efe15a	false	fix(scenario): preserve unrelated room interactions
refs/heads/salvage/recovered_reflog_7c91b266	7c91b2660b9622d9b3c4dca60a666c9d0723adff	false	fix(coach): keep ambient tips out of the input path
refs/heads/salvage/recovered_reflog_8563338b	8563338b6df6ecca7bc4c6156d21c22761ba70af	false	fix: enforce venue scenario scope contracts
refs/heads/salvage/recovered_reflog_9131d7e6	9131d7e67cbc5c9a7046f4d5e6b0e8d0262e9b0e	false	polish06_0: define the post-playtest completion program
refs/heads/salvage/recovered_reflog_92935651	92935651e20cf2b01ad75c35d2e63d44e13572f3	false	docs(tutorial): archive playtest fix pass
refs/heads/salvage/recovered_reflog_9f8ad92c	9f8ad92c83eb90f23bbe450a85abdd3ad3cd5ad1	false	test(scenarios): guard expanded catalog
refs/heads/salvage/recovered_reflog_a205673e	a205673e8fdda9d3fda53fe694e583e748000b00	false	fix(staffing): seed table assignments during generation
refs/heads/salvage/recovered_reflog_aa5443f3	aa5443f3f17454d92ecd80823da502348ec47271	false	land06_0: commit the 0.6 remaining work program contracts
refs/heads/salvage/recovered_reflog_ada239da	ada239da8a9460e85caaa4e25604fb6f2f2fadbe	false	land06_0: commit the 0.6 remaining work program contracts
refs/heads/salvage/recovered_reflog_ae55e64b	ae55e64b671604fc668f97642f5f909a8bd27658	false	land06_0: commit the 0.6 remaining work program contracts
refs/heads/salvage/recovered_reflog_b42dc296	b42dc296442ccd365ee21c615ef517d6986aa1b3	false	docs(board): complete art06_1
refs/heads/salvage/recovered_reflog_c5671d25	c5671d25014db1bfb4f7467caead30e8692f9719	false	Bootstrap native coin pusher extension
refs/heads/salvage/recovered_reflog_e6c1d88b	e6c1d88b4ca1f5b00be8504e677a003793916c50	false	Keep active item control visible in casino HUD
refs/heads/salvage/recovered_reflog_eb8351c9	eb8351c9aed87e5f57b15e4f49941df7521d8182	false	docs(todo): claim pusherv3_10 implementation
refs/heads/salvage/recovered_reflog_f9ef28ea	f9ef28ea91e8e36f5c19d195a7c25cb29fc3d414	false	Archive completed Cage environment rework prompt
refs/heads/salvage/recovered_reflog_fee3913f	fee3913f1fc732dbaabd7ec5e60b92bfbe4960e1	false	board06_1: split and archive the active board
refs/heads/salvage/salvage06_1_prompt_unreviewed_copy	773419574d06c084db413caaf92fbb14004a3206	false	salvage06_1: preserve untracked preservation prompt (UNREVIEWED COPY)
refs/heads/salvage/salvage06_1-inventory	af52438efe8e2fb3c2a07e84bf4dccb4e5695a9b	true	salvage06_1: reconcile post-merge preservation tips
refs/remotes/origin/codex/0.5-release	15d37054a5c9365b6812e80fc68456f949881174	true	Finalize 0.5 release records
refs/remotes/origin/codex/0.6-integrated-copy-reconciliation	954a311c4bedfa37a9cbd3ad52c34067efa228c1	true	docs(landing): record final reconciliation evidence
refs/remotes/origin/codex/0.6-todo-state-audit	cb7a17d55bdc07077a779a7246ec4e1cb530c1b9	true	docs(0.6): reconcile todo state after branch landing
refs/remotes/origin/codex/art06_1	6c946484fcaf62e3d4d25e4a72f4133c0cbf6a7a	true	docs(board): complete art06_1
refs/remotes/origin/codex/art06_1-runtime-repair	e1e941fa5f91d5ce407e5f9a28bac7a4c0d6204e	false	wip(art): preserve Punchline runtime raster repair
refs/remotes/origin/codex/coin-pusher-web-performance	0ce00c0ba941adac29e0a4c8a5d9f1cf842a866e	true	perf(startup): skip default accessibility restyle
refs/remotes/origin/codex/crew06_5-review2	c9be5541d45ac5c1d0987e1a1da2f98b515fab81	false	wip(crew): preserve recruitment acceptance repair
refs/remotes/origin/codex/env06_5	6654768f10acf639141a969e194dbdf8f99a9cf8	false	docs(board): block env06_5 on craps normalization
refs/remotes/origin/codex/env06-6-7-acceptance	323a88328859f42f104e56cfa3b932990660a556	true	feat(env06): complete dynamic runtime and 55-scenario rollout
refs/remotes/origin/codex/postland-main-qualification	997936b64626f96944b923ccad682b3b71d69185	true	fix(release): close post-land qualification gaps
refs/remotes/origin/codex/pusher06_2	b9fe35d7eacd7ed45f10f9668522e31f47001afb	true	docs(board): complete coin pusher presentation
refs/remotes/origin/codex/rework06_2-integration	8c167bc129486d495381e96b6d4efc89313ecd1b	true	docs(board): claim pusher depth and crew recruitment
refs/remotes/origin/codex/teach06_1	b9ba2e95853e96dfb1e71a8b749469920c30ae35	true	docs(board): complete teach06_1
refs/remotes/origin/main	38bbfc4546420644cd354265b9afc96a34e17017	true	docs(coin-pusher): record post-land broad gates
